week_ending,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19,sum_staff_weekly_confirmed_covid
2020-12-13T00:00:00.000,33592,5816,28901
2020-12-20T00:00:00.000,33709,6094,28064
2020-12-27T00:00:00.000,28873,5645,25100
2021-01-03T00:00:00.000,27278,5492,24851
2021-01-10T00:00:00.000,26253,5238,23744
2021-01-17T00:00:00.000,21274,4715,19100
2021-01-24T00:00:00.000,17010,4022,14528
2021-01-31T00:00:00.000,11375,3130,9731
2021-02-07T00:00:00.000,6474,2216,6191
2021-02-14T00:00:00.000,4036,1484,4546
2021-02-21T00:00:00.000,2286,906,2973
2021-02-28T00:00:00.000,1712,729,2603
2021-03-07T00:00:00.000,1373,516,2138
2021-03-14T00:00:00.000,1140,413,1881
2021-03-21T00:00:00.000,975,341,1952
2021-03-28T00:00:00.000,913,313,2203
2021-04-04T00:00:00.000,764,219,2141
