Date,one_minus_vf_US
12/13/2020,0.999995727853155
12/14/2020,0.999995691648521
12/15/2020,0.999995604153988
12/16/2020,0.999994979624047
12/17/2020,0.99999346204646
12/18/2020,0.999991672934116
12/19/2020,0.999989527809535
12/20/2020,0.999987913686257
12/21/2020,0.999985439702915
12/22/2020,0.999979191386449
12/23/2020,0.999974267556188
12/24/2020,0.999971694010101
12/25/2020,0.99997155522567
12/26/2020,0.999970523393593
12/27/2020,0.999969566987837
12/28/2020,0.999962706209642
12/29/2020,0.99995375763087
12/30/2020,0.99993854866742
12/31/2020,0.999932704636038
01/01/2021,0.999928568256571
01/02/2021,0.999922178138621
01/03/2021,0.999915929822156
01/04/2021,0.999789823046863
01/05/2021,0.999542282911152
01/06/2021,0.999043111516057
01/07/2021,0.998234417651369
01/08/2021,0.997180141718274
01/09/2021,0.99680784644695
01/10/2021,0.99660656979974
01/11/2021,0.99566465193207
01/12/2021,0.994746746788086
01/13/2021,0.993957410334524
01/14/2021,0.993570621141278
01/15/2021,0.993230629454888
01/16/2021,0.993027805059562
01/17/2021,0.992910073622999
01/18/2021,0.992269474858206
01/19/2021,0.991267327564364
01/20/2021,0.990069147261176
01/21/2021,0.989300583216531
01/22/2021,0.988709633073544
01/23/2021,0.988285076412641
01/24/2021,0.988038975411143
01/25/2021,0.986665796991124
01/26/2021,0.985028710923648
01/27/2021,0.983193847990275
01/28/2021,0.981625909757216
01/29/2021,0.98022499858734
01/30/2021,0.979540516788751
01/31/2021,0.979191739444443
02/01/2021,0.977626045898709
02/02/2021,0.975667673872552
02/03/2021,0.973303653055745
02/04/2021,0.970723713834214
02/05/2021,0.968015917946734
02/06/2021,0.966818117792206
02/07/2021,0.966376665635307
02/08/2021,0.96440018827496
02/09/2021,0.961874721942752
02/10/2021,0.958951861476507
02/11/2021,0.955866550816262
02/12/2021,0.952565216154444
02/13/2021,0.95090637411882
02/14/2021,0.950250484930151
02/15/2021,0.948756923084108
02/16/2021,0.946502638513794
02/17/2021,0.943650965409697
02/18/2021,0.940872802798447
02/19/2021,0.937764275916471
02/20/2021,0.935821607650433
02/21/2021,0.93492600154411
02/22/2021,0.932672628123758
02/23/2021,0.929790482785811
02/24/2021,0.926337115813505
02/25/2021,0.922585054574308
02/26/2021,0.918720475365883
02/27/2021,0.916419345015867
02/28/2021,0.915615855567356
03/01/2021,0.913510025082842
03/02/2021,0.910864679172437
03/03/2021,0.9077080815873
03/04/2021,0.904278398479917
03/05/2021,0.900665233303071
03/06/2021,0.898257220838563
03/07/2021,0.897311404938604
03/08/2021,0.894962864620002
03/09/2021,0.891980314780046
03/10/2021,0.888418931281375
03/11/2021,0.884495800128165
03/12/2021,0.880303647422907
03/13/2021,0.877522111746563
03/14/2021,0.876414319329901
03/15/2021,0.874011981941816
03/16/2021,0.871107075957121
03/17/2021,0.867992137837825
03/18/2021,0.86472087715888
03/19/2021,0.861421527717841
03/20/2021,0.859108989890975
03/21/2021,0.858098503463038
03/22/2021,0.855907528729863
03/23/2021,0.85278939253454
03/24/2021,0.848903645683274
03/25/2021,0.844444188129043
03/26/2021,0.839597736221971
03/27/2021,0.836437979782493
03/28/2021,0.834954259562868
03/29/2021,0.83155581502076
03/30/2021,0.827251041766478
03/31/2021,0.822131160393134
04/01/2021,0.816336219477272
04/02/2021,0.811640412036374
04/03/2021,0.80866310281723
04/04/2021,0.807732966540965
04/05/2021,0.803685149644358
04/06/2021,0.79898474723196
04/07/2021,0.794961854209
04/08/2021,0.794229570224954
04/09/2021,0.794229570224954
