Date,vf_US
12/13/2020,4.27214684469326e-06
12/14/2020,4.30835147897032e-06
12/15/2020,4.39584601180655e-06
12/16/2020,5.02037595308587e-06
12/17/2020,6.53795353986603e-06
12/18/2020,8.32706588372415e-06
12/19/2020,1.047219046464e-05
12/20/2020,1.20863137428257e-05
12/21/2020,1.45602970850916e-05
12/22/2020,2.08086135507411e-05
12/23/2020,2.57324438124215e-05
12/24/2020,2.83059898989493e-05
12/25/2020,2.84447743303447e-05
12/26/2020,2.94766064072409e-05
12/27/2020,3.04330121627266e-05
12/28/2020,3.72937903582298e-05
12/29/2020,4.62423691303768e-05
12/30/2020,6.14513325795991e-05
12/31/2020,6.72953639624881e-05
01/01/2021,7.14317434286424e-05
01/02/2021,7.78218613785438e-05
01/03/2021,8.40701778441933e-05
01/04/2021,0.000210176953136911
01/05/2021,0.00045771708884775
01/06/2021,0.000956888483942736
01/07/2021,0.00176558234863089
01/08/2021,0.00281985828172607
01/09/2021,0.00319215355304995
01/10/2021,0.00339343020026041
01/11/2021,0.00433534806792958
01/12/2021,0.00525325321191449
01/13/2021,0.00604258966547585
01/14/2021,0.00642937885872198
01/15/2021,0.00676937054511215
01/16/2021,0.00697219494043796
01/17/2021,0.00708992637700125
01/18/2021,0.00773052514179387
01/19/2021,0.00873267243563579
01/20/2021,0.00993085273882371
01/21/2021,0.0106994167834686
01/22/2021,0.0112903669264559
01/23/2021,0.0117149235873588
01/24/2021,0.0119610245888571
01/25/2021,0.013334203008876
01/26/2021,0.0149712890763519
01/27/2021,0.0168061520097248
01/28/2021,0.0183740902427844
01/29/2021,0.0197750014126596
01/30/2021,0.0204594832112488
01/31/2021,0.0208082605555569
02/01/2021,0.0223739541012913
02/02/2021,0.0243323261274475
02/03/2021,0.0266963469442554
02/04/2021,0.0292762861657859
02/05/2021,0.0319840820532659
02/06/2021,0.033181882207794
02/07/2021,0.0336233343646927
02/08/2021,0.0355998117250404
02/09/2021,0.0381252780572482
02/10/2021,0.0410481385234925
02/11/2021,0.044133449183738
02/12/2021,0.0474347838455561
02/13/2021,0.0490936258811797
02/14/2021,0.0497495150698486
02/15/2021,0.0512430769158917
02/16/2021,0.0534973614862058
02/17/2021,0.0563490345903028
02/18/2021,0.0591271972015531
02/19/2021,0.0622357240835288
02/20/2021,0.0641783923495673
02/21/2021,0.0650739984558904
02/22/2021,0.0673273718762419
02/23/2021,0.0702095172141888
02/24/2021,0.0736628841864949
02/25/2021,0.0774149454256925
02/26/2021,0.0812795246341174
02/27/2021,0.0835806549841332
02/28/2021,0.084384144432644
03/01/2021,0.0864899749171578
03/02/2021,0.0891353208275628
03/03/2021,0.0922919184126998
03/04/2021,0.095721601520083
03/05/2021,0.0993347666969294
03/06/2021,0.101742779161437
03/07/2021,0.102688595061396
03/08/2021,0.105037135379998
03/09/2021,0.108019685219954
03/10/2021,0.111581068718625
03/11/2021,0.115504199871835
03/12/2021,0.119696352577093
03/13/2021,0.122477888253437
03/14/2021,0.123585680670099
03/15/2021,0.125988018058184
03/16/2021,0.128892924042879
03/17/2021,0.132007862162175
03/18/2021,0.13527912284112
03/19/2021,0.138578472282159
03/20/2021,0.140891010109025
03/21/2021,0.141901496536962
03/22/2021,0.144092471270137
03/23/2021,0.14721060746546
03/24/2021,0.151096354316726
03/25/2021,0.155555811870957
03/26/2021,0.160402263778029
03/27/2021,0.163562020217507
03/28/2021,0.165045740437132
03/29/2021,0.16844418497924
03/30/2021,0.172748958233522
03/31/2021,0.177868839606866
04/01/2021,0.183663780522728
04/02/2021,0.188359587963626
04/03/2021,0.19133689718277
04/04/2021,0.192267033459035
04/05/2021,0.196314850355642
04/06/2021,0.20101525276804
04/07/2021,0.205038145791
04/08/2021,0.205770429775046
04/09/2021,0.205770429775046
