Date,New Cases,LTC_normalized_vf_one_dose_us_deaths2_scaled,LTC_normalized_vf_one_dose_us_cases2_scaled
12/13/2020,183088,3902.85714285714,3902.85714285714
12/14/2020,199734,3323.873342418,3607.90829430261
12/15/2020,198853,2071.95191572657,3697.48726314258
12/16/2020,245461,1771.77191693241,3420.97661142154
12/17/2020,249485,1788.80547069561,4383.22489717033
12/18/2020,239380,2236.49158166563,5818.35883133931
12/19/2020,200759,2341.40206799363,8724.86814041921
12/20/2020,194600,4305.06008070049,12580.8783115714
12/21/2020,186071,3908.94866744489,15850.8106690804
12/22/2020,200675,2294.68743589827,21004.4149190226
12/23/2020,233319,2158.13353101736,22340.493970158
12/24/2020,197701,2632.7105777347,29002.3183830952
12/25/2020,136582,4572.43151270763,42186.3798964647
12/26/2020,182016,4802.83288022942,32804.4136959921
12/27/2020,147703,5216.43899170789,48581.6755571928
12/28/2020,177696,4408.58254119438,49485.4446203623
12/29/2020,206128,2493.97691573484,52896.6543853593
12/30/2020,236598,2312.77279848891,61244.4599107548
12/31/2020,232690,2659.63933759197,68196.1850572385
01/01/2021,175188,3474.2824280049,96147.9207392981
01/02/2021,281601,3468.71663382239,65166.3991009579
01/03/2021,207368,5768.12911141681,108000.196524147
01/04/2021,177865,4657.38885650825,314792.192439947
01/05/2021,233398,2686.54209616702,522442.262609324
01/06/2021,251094,2542.05027440397,1015262.65937539
01/07/2021,281690,2349.98972226179,1669935.10514312
01/08/2021,314861,2678.1940178474,2386711.35003265
01/09/2021,245699,2787.59248936515,3462590.70390302
01/10/2021,218743,4733.96126251534,4543320.71594494
01/11/2021,201665,4668.07861262055,6310324.127744
01/12/2021,221561,2545.90391017855,6978514.43750651
01/13/2021,224532,2613.92034883298,7946121.06491412
01/14/2021,226587,2769.0221200492,8383127.53790216
01/15/2021,246950,2978.64537388225,8101017.92327306
01/16/2021,214063,3071.45636807057,9639366.49505598
01/17/2021,185572,5746.70044785571,12326128.1826585
01/18/2021,150690,6023.03340836956,16687746.5523745
01/19/2021,148601,5122.80262070848,19303681.2789062
01/20/2021,188590,2807.65666078959,17453670.5943553
01/21/2021,189463,3055.48443666632,18760645.6627421
01/22/2021,191415,3165.55474644676,19613232.3971916
01/23/2021,171248,3690.05096890163,22881211.6861024
01/24/2021,140229,6299.72056676977,30908305.0764603
01/25/2021,134641,6035.60271226748,36328166.4545191
01/26/2021,149509,3614.52309504136,37290944.378256
01/27/2021,157083,3484.23351519961,40461679.3462205
01/28/2021,158567,3826.22960074342,44521495.3537272
01/29/2021,149468,4027.97527403768,51560423.4568496
01/30/2021,155384,5015.43944151286,51723836.4619439
01/31/2021,112904,7361.06604115376,77985321.9731468
02/01/2021,126331,8290.27133238555,76434388.0023987
02/02/2021,118741,4709.14661128458,90352444.3328302
02/03/2021,119369,4499.24864033849,100949240.14247
02/04/2021,126581,4760.63765697032,107109659.474838
02/05/2021,127841,4941.0564656811,118746404.533698
02/06/2021,108807,6281.70850758824,146618940.434136
02/07/2021,90920,12040.4060255674,192944786.425821
02/08/2021,82399,11681.9561012497,230698988.965705
02/09/2021,91484,7067.66704883657,228257296.214367
02/10/2021,96363,5744.21960080156,239908410.291862
02/11/2021,101716,6129.88993490803,251228927.377138
02/12/2021,97483,7470.19926258785,289023685.103099
02/13/2021,88666,10358.7276256581,333099151.660819
02/14/2021,65829,17709.7793823853,493481350.115533
02/15/2021,55312,18554.8321100334,617530408.996861
02/16/2021,57863,15804.46374771,630063463.031746
02/17/2021,69349,9066.76785953721,567487553.111806
02/18/2021,68098,10082.6162541846,621329109.10647
02/19/2021,72948,9957.01850983452,625884746.122525
02/20/2021,69686,12607.6359936767,685205388.080905
02/21/2021,54114,21819.4729200835,968014156.675089
02/22/2021,55803,17534.5236017376,993729149.010374
02/23/2021,70301,14328.1075794924,841528297.211176
02/24/2021,74598,13441.9780383099,853002340.969115
02/25/2021,73946,13539.5249064612,928017059.15527
02/26/2021,73118,15914.052589842,1003580802.85159
02/27/2021,70363,17724.5797315628,1084737898.41285
02/28/2021,50272,36559.0495539032,1641568849.33185
03/01/2021,50802,25514.7334714988,1681591495.27225
03/02/2021,55280,17113.4846240644,1609474598.46145
03/03/2021,63979,19860.6901880177,1456702605.21119
03/04/2021,66539,21201.4812884863,1470282703.30726
03/05/2021,66221,16848.0799413653,1550399566.37304
03/06/2021,58085,22888.9348879494,1819194747.60594
03/07/2021,41992,41665.6725605158,2700773945.66809
03/08/2021,42832,39927.990674347,2727414719.12189
03/09/2021,53130,29493.7064403441,2278456206.73162
03/10/2021,57378,26339.8436304728,2194421427.29795
03/11/2021,61126,26572.5903723195,2146755148.73701
03/12/2021,62805,34460.9388876316,2179009967.64736
03/13/2021,52901,39729.3532940128,2655909755.98475
03/14/2021,40274,67500.8231338773,3708929738.7895
03/15/2021,45407,51586.5576105688,3368648355.65917
03/16/2021,52119,41960.352182857,3015084092.78363
03/17/2021,58503,38288.0701850998,2763291246.35154
03/18/2021,58692,41316.4633778922,2835397838.22297
03/19/2021,61717,31678.5875177542,2773877367.84941
03/20/2021,60512,57843.2702793629,2882924400.81114
03/21/2021,39048,94755.4347886633,4712111581.48751
03/22/2021,55491,42932.5761513996,3374756856.52271
03/23/2021,59458,56376.7107542245,3224097597.71971
03/24/2021,66816,36664.2706527689,2951024677.24461
03/25/2021,68370,38384.8264973112,2975475245.66762
03/26/2021,71350,34213.6882202946,2945169458.1133
03/27/2021,63303,53585.3222688451,3386829577.83192
03/28/2021,47406,81945.8379507076,4738448195.65406
03/29/2021,61570,67836.9470187623,3727394532.30666
03/30/2021,62884,58334.6002187253,3747189533.73157
03/31/2021,69520,43973.8273432257,3493542150.45994
04/01/2021,75610,52969.6733062011,3319442380.43026
04/02/2021,65701,49866.3522825823,3920711415.1805
04/03/2021,68452,58752.9322571637,3823276273.43642
04/04/2021,41389,113766.773621381,6559918965.85222
04/05/2021,62504,121156.514931415,4437595820.68876
04/06/2021,61448,58566.6561971729,4625403119.47123
04/07/2021,75306,53400.710040796,3851841891.29732
04/08/2021,75956,43874.011487002,3832596998.61381
